table;field;type;size;nullable;autoincrement;description;primary_key;foreign_key
tbl_categorias;id;3;0;False;True;Código;True;False
tbl_categorias;categoria;202;255;False;False;Categoria;False;False
tbl_categorias;subcategoria;202;255;False;False;Subcategoria;False;False
tbl_categorias;movimento;202;1;False;False;Movimento;False;False
tbl_categorias;dfc_id;3;0;True;False;Código DFC;False;tbl_dfc.id
tbl_clientes;id;3;0;False;True;Código;True;False
tbl_clientes;nome;202;80;False;False;Nome;False;False
tbl_contas;id;3;0;False;True;Código;True;False
tbl_contas;conta;202;50;False;False;Conta;False;False
tbl_contas;saldo_inicial;6;0;False;False;Saldo inicial;False;False
tbl_contatos;id;3;0;False;True;Código;True;False
tbl_contatos;nome;202;200;False;False;Nome;False;False
tbl_contatos;nascimento;7;0;True;False;Nascimento;False;False
tbl_contatos;salario;6;0;True;False;Salário;False;False
tbl_contatos;genero;202;1;True;False;Genero;False;False
tbl_dfc;id;3;0;False;True;Código;True;False
tbl_dfc;grupo;202;150;False;False;Grupo;False;False
tbl_dfc;subtotal;11;0;False;False;Subtotal;False;False
tbl_dfc;sequencia;3;0;False;False;Sequencia;False;False
tbl_exames;id;3;0;False;True;Código;True;False
tbl_exames;exame;202;100;False;False;Exame;False;False
tbl_fornecedores;id;3;0;False;True;Código;True;False
tbl_fornecedores;nome;202;80;False;False;Nome;False;False
tbl_lojas;id;3;0;False;True;Código;True;False
tbl_lojas;nome;202;80;False;False;Nome;False;False
tbl_ums;id;3;0;False;True;Código;True;False
tbl_ums;abreviacao;202;2;False;False;Abreviação;False;False
tbl_ums;descricao;202;80;True;False;Descrição;False;False
tbl_transferencias;id;3;0;False;True;Código;True;False
tbl_transferencias;data;7;0;False;False;Data;False;False
tbl_transferencias;valor;6;0;False;False;Valor;False;False
tbl_transferencias;ctaorig_id;3;0;False;False;Código da conta de origem;False;tbl_contas.id
tbl_transferencias;ctadest_id;3;0;False;False;Código da conta de destino;False;tbl_contas.id
tbl_mov_fin;id;3;0;False;True;Código;True;False
tbl_mov_fin;data;7;0;False;False;Data;False;False
tbl_mov_fin;valor;6;0;False;False;Valor;False;False
tbl_mov_fin;movimento;202;1;False;False;Movimento;False;False
tbl_mov_fin;conta_id;3;0;False;False;Código da Conta;False;tbl_contas.id
tbl_mov_fin;categoria_id;3;0;True;False;Código da Categoria;False;tbl_categorias.id
tbl_mov_fin;dfc_id;3;0;True;False;Código da DFC;False;tbl_dfc.id
tbl_mov_fin;fornecedor_id;3;0;True;False;Código do Fornecedor;False;tbl_fornecedores.id
tbl_mov_fin;loja_id;3;0;True;False;Código da Loja;False;tbl_lojas.id
tbl_mov_fin;historico;202;255;True;False;Histórico;False;False
tbl_mov_fin;data_compra;7;0;True;False;Data da compra;False;False
tbl_mov_fin;transferencia_id;3;0;True;False;Código da transferência;False;tbl_transferencias.id
